ocorrencia_id,data,cidade_nome,estado_nome,ocorrencia_localizacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia,segment_id,precipitation_7d,precipitation_14d,precipitation_30d
19094,2022-11-25,Terra Roxa,PARANÁ,POINT(-24.208665509061248 -54.06292911153218),-24.208665509061248,-54.06292911153218,True,1760.0,2.5,55.875,113.875
19093,2022-11-25,Londrina,PARANÁ,POINT(-23.51431985105242 -51.110478545475566),-23.51431985105242,-51.110478545475566,True,2279.0,26.75,48.625,135.75
18776,2022-03-30,Candói,PARANÁ,POINT(-24.601402 -51.718105),-24.601402,-51.718105,True,1503.0,36.5,61.0625,169.9375
18775,2022-03-29,Guarapuava,PARANÁ,POINT(-25.21012 -51.35116),-25.21012,-51.35116,True,1087.0,58.5,130.625,256.5
18680,2022-03-18,Pinhão,PARANÁ,POINT(-25.785368092261965 -51.63263808411514),-25.785368092261965,-51.63263808411514,True,734.0,90.0,127.1875,235.3125
18674,2022-03-09,Candói,PARANÁ,POINT(-24.601402 -51.845875),-24.601402,-51.845875,True,1502.0,19.1875,39.3125,54.1875
18673,2022-03-08,Guarapuava,PARANÁ,POINT(-25.295923 -51.809654),-25.295923,-51.809654,True,1082.0,19.6875,73.125,92.5625
18648,2022-02-28,Guarapuava,PARANÁ,POINT(-25.37197264291004 -51.49172049804218),-25.37197264291004,-51.49172049804218,True,1016.0,109.3125,114.4375,180.8125
18647,2022-02-24,Wenceslau Braz,PARANÁ,POINT(-23.854569466060497 -49.784168747671025),-23.854569466060497,-49.784168747671025,True,2083.0,6.875,8.375,182.8125
18545,2022-02-14,Guarapuava,PARANÁ,POINT(-25.37197264291004 -51.49172049804218),-25.37197264291004,-51.49172049804218,True,1016.0,4.0,60.875,193.75
18542,2022-02-10,Cambé,PARANÁ,POINT(-23.179111844793784 -51.28436545846835),-23.179111844793784,-51.28436545846835,True,2558.0,45.3125,88.0625,146.5
18541,2022-02-08,Londrina,PARANÁ,POINT(-23.51431985105242 -51.110478545475566),-23.51431985105242,-51.110478545475566,True,2279.0,63.9375,94.625,154.25
18519,2022-02-01,Londrina,PARANÁ,POINT(-23.51431985105242 -51.110478545475566),-23.51431985105242,-51.110478545475566,True,2279.0,30.6875,47.3125,110.5625
18540,2022-02-01,Londrina,PARANÁ,POINT(-23.51431985105242 -51.110478545475566),-23.51431985105242,-51.110478545475566,True,2279.0,30.6875,47.3125,110.5625
18462,2022-01-12,Marilândia do Sul,PARANÁ,POINT(-23.7732354109405 -51.28355111636297),-23.7732354109405,-51.28355111636297,True,2138.0,21.5625,24.8125,24.8125
18461,2022-01-10,Chopinzinho,PARANÁ,POINT(-25.81246222119447 -52.450760228457426),-25.81246222119447,-52.450760228457426,True,656.0,22.625,22.9375,22.9375
18460,2022-01-10,Coronel Vivida,PARANÁ,POINT(-25.992476994856105 -52.56416980453629),-25.992476994856105,-52.56416980453629,True,585.0,30.8125,31.1875,31.1875
18459,2022-01-04,Candói,PARANÁ,POINT(-25.61319 -52.0115),-25.61319,-52.0115,True,800.0,7.5,7.5,7.5
