ano,nome_do_modelo,Erro_dias,R2_medio,MAE_medio,RMSE_medio,VP,FP,FN,VN,Recall,Precision,F1
2004,Ensemble_Tempo_Clima,4.758064516129032,0.7064477437381136,0.1802078019140991,0.27090231461815084,239,50,269,2487,0.4704724409448819,0.8269896193771626,0.5997490589711418
2005,Ensemble_Tempo_Clima,6.647540983606557,0.7092998285617653,0.1798858918794559,0.26958309082648096,464,131,510,5058,0.47638603696098564,0.7798319327731092,0.591459528362014
2006,Ensemble_Tempo_Clima,5.973105134474328,0.7105018306008821,0.17823515637557535,0.26902517047625757,1520,501,1133,14290,0.5729362985299661,0.752102919346858,0.6504065040650407
2007,Ensemble_Tempo_Clima,10.93341121495327,0.7096173986889589,0.18221351337092978,0.2694358000113576,3317,2406,822,25415,0.8014013046629621,0.5795911235366067,0.6726830257554249
2008,Ensemble_Tempo_Clima,5.923981191222571,0.6977951683847629,0.19112655572822107,0.2748657998074866,5041,1575,1259,41912,0.8001587301587302,0.7619407496977025,0.7805822235986374
2009,Ensemble_Tempo_Clima,5.298780487804878,0.7075464493419436,0.1799468271189066,0.2703948735914091,641,136,419,5808,0.6047169811320755,0.824967824967825,0.697876973326075
2010,Ensemble_Tempo_Clima,11.657370517928287,0.7080436091655893,0.18136585270802316,0.27016494537338237,958,950,202,6888,0.8258620689655173,0.5020964360587002,0.6245110821382008
2011,Ensemble_Tempo_Clima,5.538461538461538,0.7017849585995617,0.18344448383645393,0.27304534486072013,43,11,37,449,0.5375,0.7962962962962963,0.6417910447761194
2012,Ensemble_Tempo_Clima,11.398148148148149,0.703361599921415,0.18233787658344122,0.27232260284384446,400,404,48,2576,0.8928571428571429,0.4975124378109453,0.6389776357827476
2013,Ensemble_Tempo_Clima,9.774647887323944,0.7009228373616669,0.18286919774394286,0.27343973862550275,278,233,22,1792,0.9266666666666666,0.5440313111545988,0.6855733662145499
2014,Ensemble_Tempo_Clima,6.310344827586207,0.7020983636362028,0.183318637508322,0.27290183050127986,224,89,132,1977,0.6292134831460674,0.7156549520766773,0.6696562032884903
2015,Ensemble_Tempo_Clima,6.861111111111111,0.7026971572669467,0.18209995830542997,0.2726274210039469,261,174,163,2068,0.6155660377358491,0.6,0.6076833527357393
2016,Ensemble_Tempo_Clima,7.888888888888889,0.7044132135700698,0.18280637776698352,0.2718394684505591,262,165,110,2091,0.7043010752688172,0.6135831381733021,0.655819774718398
2017,Ensemble_Tempo_Clima,6.49,0.7030168596541895,0.18266537984466996,0.27248079764719685,372,148,80,2696,0.8230088495575221,0.7153846153846154,0.7654320987654322
2018,Ensemble_Tempo_Clima,8.761904761904763,0.7039300206015029,0.1814497977987404,0.2720615644475057,145,134,87,1149,0.625,0.5197132616487455,0.5675146771037182
2019,Ensemble_Tempo_Clima,12.209677419354838,0.7029106721682717,0.18293164874859374,0.2725295065821902,244,261,40,1875,0.8591549295774648,0.48316831683168315,0.6185044359949303
2020,Ensemble_Tempo_Clima,12.178947368421053,0.7018458000152541,0.18300116745339604,0.27301749027523214,367,382,33,2666,0.9175,0.48998664886515353,0.6388163620539599
2021,Ensemble_Tempo_Clima,12.38888888888889,0.7010264688996188,0.18301756503622563,0.2733923604914652,72,77,0,537,1.0,0.48322147651006714,0.6515837104072398
2022,Ensemble_Tempo_Clima,9.0,0.7020515349402456,0.18286285470630134,0.2729232790821233,0,2,8,40,0.0,0.0,0.0
